GNISIDNAME,Area_Total_Cells,Date,MIN,MAX,MEAN,STD,MEDIAN,Year,Month,Day,Julian_day
Beulah Reservoir_01117569,66,1/1/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,1,1
Blue River Lake_01158909,31,1/1/2024,6309.57666,319153.9375,30624.14804,73158.69384,6309.57666,2024,1,1,1
Brownlee Reservoir_00378278,515,1/1/2024,6309.57666,194088.6406,81421.20225,91992.57822,6309.57666,2024,1,1,1
Cottage Grove Lake_01158179,26,1/1/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,1,1
Crater Lake_01163669,578,1/1/2024,6309.57666,235505.0469,9393.746023,25449.24724,6309.57666,2024,1,1,1
Crump Lake_01119601,365,1/1/2024,6309.57666,20137.24805,6411.028451,873.1806755,6309.57666,2024,1,1,1
Detroit Lake_01639301,91,1/1/2024,6309.57666,194088.6406,13158.87655,23662.61617,6309.57666,2024,1,1,1
Dexter Reservoir_01119918,35,1/1/2024,6309.57666,24434.31836,7285.965695,3574.194813,6309.57666,2024,1,1,1
Diamond Lake_01140999,137,1/1/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,1,1
Dorena Lake_01120032,49,1/1/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,1,1
Drews Reservoir_01141243,156,1/1/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,1,1
East Lake_01141624,45,1/1/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,1,1
Fall Creek Lake_01158871,39,1/1/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,1,1
Foster Lake_01158892,32,1/1/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,1,1
Gerber Reservoir_01121105,143,1/1/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,1,1
Goose Lake_00224325,4178,1/1/2024,6309.57666,121338.9219,6757.675913,5086.699074,6309.57666,2024,1,1,1
Green Peter Lake_01158878,123,1/1/2024,6309.57666,654636.5,27011.49862,99561.94803,6309.57666,2024,1,1,1
Hart Lake_01121637,317,1/1/2024,6309.57666,80167.85938,7072.135066,6800.727873,6309.57666,2024,1,1,1
Hills Creek Lake_01158881,81,1/1/2024,6309.57666,293765.0625,32387.06301,62587.21239,6309.57666,2024,1,1,1
Howard Prairie Lake_01158895,69,1/1/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,1,1
Lost Creek Lake_01158890,122,1/1/2024,6309.57666,346737,22633.57228,52383.1255,6309.57666,2024,1,1,1
Ochoco Reservoir_01147148,34,1/1/2024,6309.57666,178648.8906,19632.00362,41583.83528,6309.57666,2024,1,1,1
Odell Lake_01147159,152,1/1/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,1,1
Paulina Lake_01147502,58,1/1/2024,6309.57666,28840.33398,7795.317319,4690.110936,6309.57666,2024,1,1,1
Prineville Reservoir_01125673,93,1/1/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,1,1
Renner Lake_00267175,21,1/1/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,1,1
Ross Island Lagoon,31,1/1/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,1,1
Siltcoos Lake_01158483,120,1/1/2024,6309.57666,1202264.875,68140.42593,181109.2094,6309.57666,2024,1,1,1
Sturgeon Lake_01127681,126,1/1/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,1,1
Summer Lake_01150595,1211,1/1/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,1,1
Timothy Lake_01151253,53,1/1/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,1,1
Upper Cow Lake_01119431,42,1/1/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,1,1
Waldo Lake_01151818,258,1/1/2024,6309.57666,159955.8906,11885.37706,26812.75803,6309.57666,2024,1,1,1
Wallowa Lake_01151862,68,1/1/2024,6309.57666,35974.95313,7663.786701,4861.717143,6309.57666,2024,1,1,1
Warm Springs Reservoir_01128656,151,1/1/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,1,1
Willamette River (Marquam Brg to Multnomah Channel),73,1/1/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,1,1
Willamette River (Sellwood Brg to Willamette Falls),35,1/1/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,1,1
Malheur Lake_01123710,1284,1/2/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,2,2
Upper Cow Lake_01119431,42,1/2/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,2,2
Alkali Lake_01116863,27,1/3/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,3,3
Crane Prairie Reservoir_01140386,180,1/3/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,3,3
Crater Lake_01163669,578,1/3/2024,6309.57666,6309.57666,6309.57666,0,6309.57666,2024,1,3,3
