"","Waterbody_GNISID*","Basin","7DDMGM (cells/mL)","7DADM (cells/mL)","Date_7DDMGM","Days of Data"
"1","Hills Creek Lake_01158881","Middle Fork Willamette","2,064,702","2,230,830",2024-05-15,7
"2","Sturgeon Lake_01127681","Lower Willamette","1,668,345","1,696,850",2024-05-17,7
"3","Wickiup Reservoir_01161711","Deschutes","  890,665","  917,220",2024-05-17,7
"4","Hart Lake_01121637","Oregon Closed Basins","  290,307","  303,440",2024-05-13,7
"5","Lake Billy Chinook_01138120","Deschutes","  251,851","  436,896",2024-05-13,7
"6","Wallowa Lake_01151862","Lower Snake","  250,035","  498,917",2024-05-14,6
"7","Crump Lake_01119601","Oregon Closed Basins","  236,436","  240,981",2024-05-13,7
"8","Waldo Lake_01151818","Middle Fork Willamette","  212,534","  502,745",2024-05-14,7
"9","Fourmile Lake_01161371","Klamath","  205,116","  422,817",2024-05-19,6
"10","Davis Lake_01140666","Deschutes","  162,181","  274,407",2024-05-19,6
"11","Upper Klamath Lake_01151685","Klamath","  140,420","  255,518",2024-05-13,7
"12","Crater Lake_01163669","Klamath","  132,347","  264,654",2024-05-14,7
"13","Dorena Lake_01120032","Coast Fork Willamette","  131,826","  154,916",2024-05-14,6
"14","East Lake_01141624","Deschutes","  100,793","  474,454",2024-05-14,7
